txn_id,amount,currency,status,captured_at,expected_settlement_at,customer_name
TXNCLEAN001,60799.63,INR,captured,2025-01-04T05:00:00+00:00,2025-01-06T05:00:00+00:00,Aarav Sharma
TXNCLEAN002,70402.34,INR,captured,2024-12-29T11:00:00+00:00,2024-12-31T11:00:00+00:00,Myra Desai
TXNCLEAN003,22217.89,INR,captured,2025-01-04T14:00:00+00:00,2025-01-06T14:00:00+00:00,Arjun Rao
TXNCLEAN004,56041.85,INR,captured,2025-01-05T14:00:00+00:00,2025-01-07T14:00:00+00:00,Aarav Sharma
TXNCLEAN005,14897.23,INR,captured,2024-12-30T09:00:00+00:00,2025-01-01T09:00:00+00:00,Ishaan Gupta
TXNCLEAN006,25239.80,INR,captured,2025-01-08T00:00:00+00:00,2025-01-10T00:00:00+00:00,Aarav Sharma
TXNCLEAN007,78819.03,INR,captured,2025-01-04T14:00:00+00:00,2025-01-06T14:00:00+00:00,Arjun Rao
TXNCLEAN008,21766.15,INR,captured,2025-01-04T09:00:00+00:00,2025-01-06T09:00:00+00:00,Aditya Nair
TXNCLEAN009,60444.67,INR,captured,2024-12-31T06:00:00+00:00,2025-01-02T06:00:00+00:00,Ishaan Gupta
TXNCLEAN010,60377.69,INR,captured,2025-01-05T22:00:00+00:00,2025-01-07T22:00:00+00:00,Myra Desai
TXNCLEAN011,65422.16,INR,captured,2025-01-10T05:00:00+00:00,2025-01-12T05:00:00+00:00,Ananya Iyer
TXNCLEAN012,25545.22,INR,captured,2025-01-04T16:00:00+00:00,2025-01-06T16:00:00+00:00,Ananya Iyer
TXNCLEAN013,86894.84,INR,captured,2025-01-07T05:00:00+00:00,2025-01-09T05:00:00+00:00,Kabir Joshi
TXNCLEAN014,55498.10,INR,captured,2024-12-25T21:00:00+00:00,2024-12-27T21:00:00+00:00,Ishaan Gupta
TXNCLEAN015,10550.22,INR,captured,2024-12-28T17:00:00+00:00,2024-12-30T17:00:00+00:00,Vivaan Reddy
TXNCLEAN016,56670.02,INR,captured,2025-01-10T15:00:00+00:00,2025-01-12T15:00:00+00:00,Kabir Joshi
TXNCLEAN017,25458.37,INR,captured,2024-12-29T07:00:00+00:00,2024-12-31T07:00:00+00:00,Ishaan Gupta
TXNCLEAN018,83224.65,INR,captured,2025-01-05T20:00:00+00:00,2025-01-07T20:00:00+00:00,Aditya Nair
TXNCLEAN019,60754.36,INR,captured,2024-12-31T07:00:00+00:00,2025-01-02T07:00:00+00:00,Arjun Rao
TXNCLEAN020,1997.37,INR,captured,2025-01-02T05:00:00+00:00,2025-01-04T05:00:00+00:00,Ishaan Gupta
TXNCLEAN021,53963.81,INR,captured,2024-12-27T10:00:00+00:00,2024-12-29T10:00:00+00:00,Diya Patel
TXNCLEAN022,45230.53,INR,captured,2024-12-25T17:00:00+00:00,2024-12-27T17:00:00+00:00,Myra Desai
TXNCLEAN023,71786.90,INR,captured,2024-12-29T15:00:00+00:00,2024-12-31T15:00:00+00:00,Ananya Iyer
TXNCLEAN024,49242.07,INR,captured,2025-01-09T02:00:00+00:00,2025-01-11T02:00:00+00:00,Diya Patel
TXNCLEAN025,55963.54,INR,captured,2025-01-10T05:00:00+00:00,2025-01-12T05:00:00+00:00,Aarav Sharma
TXNCLEAN026,31491.14,INR,captured,2024-12-27T06:00:00+00:00,2024-12-29T06:00:00+00:00,Myra Desai
TXNCLEAN027,74571.15,INR,captured,2025-01-07T15:00:00+00:00,2025-01-09T15:00:00+00:00,Saanvi Menon
TXNCLEAN028,39143.05,INR,captured,2025-01-08T11:00:00+00:00,2025-01-10T11:00:00+00:00,Aarav Sharma
TXNCLEAN029,81879.64,INR,captured,2024-12-28T08:00:00+00:00,2024-12-30T08:00:00+00:00,Ananya Iyer
TXNCLEAN030,44030.27,INR,captured,2025-01-08T11:00:00+00:00,2025-01-10T11:00:00+00:00,Diya Patel
TXNCLEAN031,80648.79,INR,captured,2024-12-27T06:00:00+00:00,2024-12-29T06:00:00+00:00,Vivaan Reddy
TXNCLEAN032,36095.60,INR,captured,2024-12-28T03:00:00+00:00,2024-12-30T03:00:00+00:00,Saanvi Menon
TXNCLEAN033,68291.02,INR,captured,2025-01-05T11:00:00+00:00,2025-01-07T11:00:00+00:00,Vivaan Reddy
TXNCLEAN034,4906.00,INR,captured,2025-01-06T11:00:00+00:00,2025-01-08T11:00:00+00:00,Kabir Joshi
TXNCLEAN035,56589.08,INR,captured,2025-01-03T18:00:00+00:00,2025-01-05T18:00:00+00:00,Ananya Iyer
TXNCLEAN036,62501.84,INR,captured,2025-01-03T06:00:00+00:00,2025-01-05T06:00:00+00:00,Arjun Rao
TXNCLEAN037,37690.29,INR,captured,2025-01-09T12:00:00+00:00,2025-01-11T12:00:00+00:00,Aditya Nair
TXNCLEAN038,51144.62,INR,captured,2024-12-31T10:00:00+00:00,2025-01-02T10:00:00+00:00,Myra Desai
TXNCLEAN039,15112.29,INR,captured,2024-12-26T12:00:00+00:00,2024-12-28T12:00:00+00:00,Myra Desai
TXNCLEAN040,12887.51,INR,captured,2025-01-07T04:00:00+00:00,2025-01-09T04:00:00+00:00,Diya Patel
TXNCLEAN041,32672.20,INR,captured,2025-01-03T11:00:00+00:00,2025-01-05T11:00:00+00:00,Aditya Nair
TXNCLEAN042,26393.12,INR,captured,2025-01-06T16:00:00+00:00,2025-01-08T16:00:00+00:00,Aarav Sharma
TXNCLEAN043,42058.10,INR,captured,2025-01-08T10:00:00+00:00,2025-01-10T10:00:00+00:00,Saanvi Menon
TXNCLEAN044,79311.34,INR,captured,2024-12-29T08:00:00+00:00,2024-12-31T08:00:00+00:00,Arjun Rao
TXNCLEAN045,85418.39,INR,captured,2025-01-04T15:00:00+00:00,2025-01-06T15:00:00+00:00,Aarav Sharma
TXNCLEAN046,74144.03,INR,captured,2025-01-07T05:00:00+00:00,2025-01-09T05:00:00+00:00,Saanvi Menon
TXNCLEAN047,39256.12,INR,captured,2024-12-28T15:00:00+00:00,2024-12-30T15:00:00+00:00,Vivaan Reddy
TXNCLEAN048,74832.47,INR,captured,2025-01-04T22:00:00+00:00,2025-01-06T22:00:00+00:00,Diya Patel
TXNCLEAN049,75588.52,INR,captured,2025-01-05T00:00:00+00:00,2025-01-07T00:00:00+00:00,Ananya Iyer
TXNCLEAN050,6734.56,INR,captured,2024-12-26T00:00:00+00:00,2024-12-28T00:00:00+00:00,Aditya Nair
TXNCLEAN051,83337.09,INR,captured,2025-01-03T11:00:00+00:00,2025-01-05T11:00:00+00:00,Aditya Nair
TXNCLEAN052,69252.50,INR,captured,2024-12-26T09:00:00+00:00,2024-12-28T09:00:00+00:00,Ishaan Gupta
TXNCLEAN053,4360.06,INR,captured,2025-01-05T01:00:00+00:00,2025-01-07T01:00:00+00:00,Saanvi Menon
TXNCLEAN054,87485.12,INR,captured,2025-01-07T13:00:00+00:00,2025-01-09T13:00:00+00:00,Arjun Rao
TXNCLEAN055,63404.79,INR,captured,2025-01-01T19:00:00+00:00,2025-01-03T19:00:00+00:00,Ishaan Gupta
TXNCLEAN056,63218.56,INR,captured,2025-01-05T17:00:00+00:00,2025-01-07T17:00:00+00:00,Saanvi Menon
TXNCLEAN057,79228.83,INR,captured,2024-12-28T18:00:00+00:00,2024-12-30T18:00:00+00:00,Aditya Nair
TXNCLEAN058,42088.86,INR,captured,2025-01-05T15:00:00+00:00,2025-01-07T15:00:00+00:00,Ananya Iyer
TXNCLEAN059,63116.54,INR,captured,2025-01-03T15:00:00+00:00,2025-01-05T15:00:00+00:00,Arjun Rao
TXNCLEAN060,19037.47,INR,captured,2024-12-26T17:00:00+00:00,2024-12-28T17:00:00+00:00,Aarav Sharma
TXNLEDGERGAP001,84200.09,INR,captured,2024-12-29T21:00:00+00:00,2024-12-31T21:00:00+00:00,Arjun Rao
TXNLEDGERGAP002,62377.10,INR,captured,2025-01-07T23:00:00+00:00,2025-01-09T23:00:00+00:00,Aarav Sharma
TXNLEDGERGAP003,91013.08,INR,captured,2025-01-04T09:00:00+00:00,2025-01-06T09:00:00+00:00,Myra Desai
TXNLEDGERGAP004,44221.41,INR,captured,2024-12-31T22:00:00+00:00,2025-01-02T22:00:00+00:00,Myra Desai
TXNLEDGERGAP005,85250.19,INR,captured,2025-01-03T16:00:00+00:00,2025-01-05T16:00:00+00:00,Kabir Joshi
TXNLEDGERGAP006,59597.09,INR,captured,2025-01-02T05:00:00+00:00,2025-01-04T05:00:00+00:00,Aditya Nair
TXNLEDGERGAP007,84853.60,INR,captured,2025-01-04T00:00:00+00:00,2025-01-06T00:00:00+00:00,Diya Patel
TXNLEDGERGAP008,39500.22,INR,captured,2024-12-29T11:00:00+00:00,2024-12-31T11:00:00+00:00,Ishaan Gupta
TXNLEDGERGAP009,85973.93,INR,captured,2025-01-10T18:00:00+00:00,2025-01-12T18:00:00+00:00,Arjun Rao
TXNLEDGERGAP010,89569.05,INR,captured,2024-12-28T19:00:00+00:00,2024-12-30T19:00:00+00:00,Aditya Nair
TXNLEDGERGAP011,26037.91,INR,captured,2024-12-31T15:00:00+00:00,2025-01-02T15:00:00+00:00,Kabir Joshi
TXNLEDGERGAP012,44481.96,INR,captured,2025-01-11T00:00:00+00:00,2025-01-13T00:00:00+00:00,Vivaan Reddy
TXNLEDGERGAP013,40803.92,INR,captured,2025-01-03T00:00:00+00:00,2025-01-05T00:00:00+00:00,Kabir Joshi
TXNLEDGERGAP014,31151.32,INR,captured,2024-12-29T04:00:00+00:00,2024-12-31T04:00:00+00:00,Saanvi Menon
TXNLEDGERGAP015,71194.95,INR,captured,2025-01-08T16:00:00+00:00,2025-01-10T16:00:00+00:00,Aarav Sharma
TXNPENDING001,19059.36,INR,captured,2025-01-15T03:00:00+00:00,2025-01-17T03:00:00+00:00,Aarav Sharma
TXNPENDING002,10999.84,INR,captured,2025-01-15T02:00:00+00:00,2025-01-17T02:00:00+00:00,Ananya Iyer
TXNPENDING003,57747.42,INR,captured,2025-01-14T16:00:00+00:00,2025-01-16T16:00:00+00:00,Diya Patel
TXNPENDING004,64396.39,INR,captured,2025-01-15T08:00:00+00:00,2025-01-17T08:00:00+00:00,Saanvi Menon
TXNPENDING005,73419.81,INR,captured,2025-01-14T16:00:00+00:00,2025-01-16T16:00:00+00:00,Arjun Rao
TXNPENDING006,40781.65,INR,captured,2025-01-15T00:00:00+00:00,2025-01-17T00:00:00+00:00,Ishaan Gupta
TXNPENDING007,46645.63,INR,captured,2025-01-14T20:00:00+00:00,2025-01-16T20:00:00+00:00,Saanvi Menon
TXNPENDING008,69750.48,INR,captured,2025-01-14T17:00:00+00:00,2025-01-16T17:00:00+00:00,Aditya Nair
TXNPENDING009,78470.93,INR,captured,2025-01-15T03:00:00+00:00,2025-01-17T03:00:00+00:00,Arjun Rao
TXNPENDING010,42908.57,INR,captured,2025-01-14T22:00:00+00:00,2025-01-16T22:00:00+00:00,Kabir Joshi
TXNANOMALY001,80862.88,INR,captured,2024-12-31T04:00:00+00:00,2025-01-02T04:00:00+00:00,Vivaan Reddy
TXNANOMALY002,56695.30,INR,captured,2024-12-26T06:00:00+00:00,2024-12-28T06:00:00+00:00,Aditya Nair
TXNANOMALY003,38699.71,INR,captured,2024-12-26T16:00:00+00:00,2024-12-28T16:00:00+00:00,Myra Desai
TXNANOMALY004,1785.52,INR,captured,2025-01-04T03:00:00+00:00,2025-01-06T03:00:00+00:00,Aditya Nair
TXNANOMALY005,50507.95,INR,captured,2025-01-01T01:00:00+00:00,2025-01-03T01:00:00+00:00,Saanvi Menon
TXNANOMALY006,23995.64,INR,captured,2025-01-01T09:00:00+00:00,2025-01-03T09:00:00+00:00,Diya Patel
TXNANOMALY007,70206.65,INR,captured,2024-12-25T17:00:00+00:00,2024-12-27T17:00:00+00:00,Aditya Nair
TXNANOMALY008,18562.05,INR,captured,2025-01-02T12:00:00+00:00,2025-01-04T12:00:00+00:00,Ananya Iyer
TXNANOMALY009,92561.87,INR,captured,2025-01-06T16:00:00+00:00,2025-01-08T16:00:00+00:00,Myra Desai
TXNANOMALY010,1313.37,INR,captured,2024-12-28T02:00:00+00:00,2024-12-30T02:00:00+00:00,Aditya Nair
TXNAMOUNTMISMATCH001,89409.88,INR,captured,2024-12-27T10:00:00+00:00,2024-12-29T10:00:00+00:00,Kabir Joshi
TXNAMOUNTMISMATCH002,90174.57,INR,captured,2025-01-07T19:00:00+00:00,2025-01-09T19:00:00+00:00,Diya Patel
TXNAMOUNTMISMATCH003,42881.30,INR,captured,2025-01-09T17:00:00+00:00,2025-01-11T17:00:00+00:00,Kabir Joshi
TXNAMOUNTMISMATCH004,62791.61,INR,captured,2025-01-09T07:00:00+00:00,2025-01-11T07:00:00+00:00,Vivaan Reddy
TXNAMOUNTMISMATCH005,44721.20,INR,captured,2025-01-01T14:00:00+00:00,2025-01-03T14:00:00+00:00,Aarav Sharma
